ERPMaterialID,ThumnailPath,DisplayImagePath
X01839D0,W:\IMAGE\Images for Personal Care\96Wx96H\X01839D0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X01839D0_1.jpg
X00044AD,W:\IMAGE\Images for Personal Care\96Wx96H\X01840D0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X01840D0_1.jpg
X0004800,W:\IMAGE\Images for Personal Care\96Wx96H\X01841D0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X01841D0_1.jpg
X00073AD,W:\IMAGE\Images for Personal Care\96Wx96H\X01842D0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X01842D0_1.jpg
X00083AD,W:\IMAGE\Images for Personal Care\96Wx96H\X04723R0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X04723R0_1.jpg
X00098AD,W:\IMAGE\Images for Personal Care\96Wx96H\X04730R0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X04730R0_1.jpg
X00204A0,W:\IMAGE\Images for Personal Care\96Wx96H\X08109J0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X08109J0_1.jpg
X04071A0,W:\IMAGE\Images for Personal Care\96Wx96H\X08111J0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X08111J0_1.jpg
X0020700,W:\IMAGE\Images for Personal Care\96Wx96H\X09833J0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X09833J0_1.jpg
X0022500,W:\IMAGE\Images for Personal Care\96Wx96H\X09834J0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X09834J0_1.jpg
X0055200,W:\IMAGE\Images for Personal Care\96Wx96H\X09835J0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X09835J0_1.jpg
X0055300,W:\IMAGE\Images for Personal Care\96Wx96H\X09837M0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X09837M0_1.jpg
X00104AD,W:\IMAGE\Images for Personal Care\96Wx96H\X09838M0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X09838M0_1.jpg
X002641A,W:\IMAGE\Images for Personal Care\96Wx96H\X002641A_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X002641A_1.jpg
X09839K0,W:\IMAGE\Images for Personal Care\96Wx96H\X09839K0_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X09839K0_1.jpg
X199955700,W:\IMAGE\Images for Personal Care\96Wx96H\X199955700_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199955700_1.jpg
X199954700,W:\IMAGE\Images for Personal Care\96Wx96H\X199954700_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199954700_1.jpg
X199954900,W:\IMAGE\Images for Personal Care\96Wx96H\X199954900_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199954900_1.jpg
X199955000,W:\IMAGE\Images for Personal Care\96Wx96H\X199955000_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199955000_1.jpg
X199955400,W:\IMAGE\Images for Personal Care\96Wx96H\X199955400_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199955400_1.jpg
X199952100,W:\IMAGE\Images for Personal Care\96Wx96H\X199952100_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199952100_1.jpg
X19995100,W:\IMAGE\Images for Personal Care\96Wx96H\X19995100_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X19995100_1.jpg
X199950200,W:\IMAGE\Images for Personal Care\96Wx96H\X199950200_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199950200_1.jpg
X199950400,W:\IMAGE\Images for Personal Care\96Wx96H\X199950400_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199950400_1.jpg
X199950500,W:\IMAGE\Images for Personal Care\96Wx96H\X199950500_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199950500_1.jpg
X199950600,W:\IMAGE\Images for Personal Care\96Wx96H\X199950600_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199950600_1.jpg
X199951200,W:\IMAGE\Images for Personal Care\96Wx96H\X199951200_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199951200_1.jpg
X199951400,W:\IMAGE\Images for Personal Care\96Wx96H\X199951400_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199951400_1.jpg
X199951700,W:\IMAGE\Images for Personal Care\96Wx96H\X199951700_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199951700_1.jpg
X199957000,W:\IMAGE\Images for Personal Care\96Wx96H\X199957000_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199957000_1.jpg
X199954400,W:\IMAGE\Images for Personal Care\96Wx96H\X199954400_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199954400_1.jpg
X199954500,W:\IMAGE\Images for Personal Care\96Wx96H\X199954500_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199954500_1.jpg
X199954600,W:\IMAGE\Images for Personal Care\96Wx96H\X199954600_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199954600_1.jpg
X199955200,W:\IMAGE\Images for Personal Care\96Wx96H\X199955200_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199955200_1.jpg
X199955300,W:\IMAGE\Images for Personal Care\96Wx96H\X199955300_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199955300_1.jpg
X199955500,W:\IMAGE\Images for Personal Care\96Wx96H\X199955500_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199955500_1.jpg
X199956600,W:\IMAGE\Images for Personal Care\96Wx96H\X199956600_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199956600_1.jpg
X199955800,W:\IMAGE\Images for Personal Care\96Wx96H\X199955800_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199955800_1.jpg
X199956100,W:\IMAGE\Images for Personal Care\96Wx96H\X199956100_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199956100_1.jpg
X199956200,W:\IMAGE\Images for Personal Care\96Wx96H\X199956200_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199956200_1.jpg
X199956500,W:\IMAGE\Images for Personal Care\96Wx96H\X199956500_2.jpg,W:\IMAGE\Images for Personal Care\300Hx300W\X199956500_1.jpg